address,size,name,namespace,source,recovery,organized_file
008691b0,1441,MainWindow::closeEvent,MainWindow,IMPORTED,pseudocode,src/integration/MainWindow_design_integration.cpp
0086b680,4782,MainWindow::createUi,MainWindow,IMPORTED,pseudocode,src/integration/MainWindow_design_integration.cpp
0086e4a0,479,MainWindow::openWidget,MainWindow,IMPORTED,pseudocode,src/integration/MainWindow_design_integration.cpp
0086f710,287,MainWindow::sendModelMessage,MainWindow,IMPORTED,pseudocode,src/integration/MainWindow_design_integration.cpp
0086fa30,917,MainWindow::slotShowDesigner,MainWindow,IMPORTED,pseudocode,src/integration/MainWindow_design_integration.cpp
0086fdd0,152,MainWindow::slotShowWorker,MainWindow,IMPORTED,pseudocode,src/integration/MainWindow_design_integration.cpp
008bca70,1765,CatDesign::CatDesign,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bd260,355,CatDesign::~CatDesign,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bd4fb,8,CatDesign::`vector_deleting_destructor'`adjustor{8}',CatDesign,ANALYSIS,pseudocode,src/controllers/CatDesign_recovered.cpp
008bd510,30,CatDesign::`scalar_deleting_destructor',CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bd5c0,8,CatDesign::accountChanged,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bd5d0,81,CatDesign::addClamps,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bd630,667,CatDesign::addToRecentFileList,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bd8d0,162,CatDesign::autoHole,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bd980,162,CatDesign::autoSlotFrame,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bda40,162,CatDesign::boreHoleG76,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bdaf0,162,CatDesign::boreHoleG86,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bdba0,83,CatDesign::cascadeAnalyse,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bdc00,245,CatDesign::centerTriggered,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bdd00,162,CatDesign::chamferSlopePlane,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bddb0,339,CatDesign::checkStatus,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bdf10,81,CatDesign::checkTempFile,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bdf70,190,CatDesign::clearRecentFile,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008be030,155,CatDesign::closeWindow,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008be100,173,CatDesign::convert,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008be2d0,3453,CatDesign::createForRibbon,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008bf0d0,11682,CatDesign::createToolBar,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c1ea0,162,CatDesign::deepHoleDrill,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c2170,162,CatDesign::drillDodging,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c2220,162,CatDesign::drillHoleChamfer,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c22d0,83,CatDesign::dynamicAnalyse,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c2330,162,CatDesign::dynamicMilling,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c23e0,81,CatDesign::emulation,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c2490,629,CatDesign::eventFilter,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c2710,162,CatDesign::featuresHole,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c28a0,81,CatDesign::import3rdPart,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c2a80,162,CatDesign::intelligentChamfering,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c2b50,160,CatDesign::layerCopy,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c2bf0,160,CatDesign::layerMove,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c2c90,160,CatDesign::layerSetting,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c2d40,160,CatDesign::letter,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c2e20,81,CatDesign::marking,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c2e80,189,CatDesign::materialLibrary,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c2f40,83,CatDesign::measuringtool,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c2fa0,162,CatDesign::millChamfer3D,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c3050,162,CatDesign::millChamfer,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c3100,162,CatDesign::millClearInnerCorner,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c31b0,162,CatDesign::millCurve,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c3260,162,CatDesign::millFilletedCorner,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c3310,162,CatDesign::millGroove,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c33c0,162,CatDesign::millIslandPlane,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c3470,162,CatDesign::millLine,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c3520,162,CatDesign::millOutLine,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
008c35d0,162,CatDesign::millPlane,CatDesign,IMPORTED,pseudocode,src/controllers/CatDesign_recovered.cpp
